"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"790"," 1990Y","03:37:22.639","-33:02:40.09","","","Anon.           ","","","","","","","","","0","1","","18","","1990-08-22 00:00:00","","[Discoverer=Wischnjewsky; DiscoveryRef=IAUC 5080; PositionRef=AJ 112, 2408; Orig Type=Unknown]",""
"791"," 1990Z","22:39:30.000","+08:37:60.00","","","UGC 12133       ","","","","","","","","","0","1","","19","","1990-08-21 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5082; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"792","SN 1991A","11:53:53.000","+33:21:44.00","SN Ic-pec","","IC 2973         ","","","","","","","","","0","1","","18","","1991-01-01 00:00:00","","[Discoverer=Pennypacker, Perlmutter, et al.; DiscoveryRef=IAUC 5153; PositionRef=; Orig Type=Ic-p ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"793","SN 1991aa","12:45:09.840","-06:19:02.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","16","","1991-05-07 00:00:00","","[Discoverer=McNaught; DiscoveryRef=IAUC 5263; PositionRef=IAUC 5263; Orig Type=Ia   ]",""
"794","SN 1991ab","13:59:21.679","+19:41:06.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.5","","1991-05-08 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 5267; PositionRef=IAUC 5267; Orig Type=Ia   ]",""
"795"," 1991ac","13:01:19.241","+29:10:59.99","","","Anon.           ","","","","","","","","","0","1","","18.5","","1991-01-26 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 5270; PositionRef=IAUC 5270; Orig Type=Unknown]",""
"796","SN 1991ad","16:19:25.300","+17:38:53.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1991-05-13 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5271; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"797","SN 1991ae","15:48:35.500","+68:06:03.00","SN IIP","","MCG +11-19-18   ","","","","","","","","","0","1","","18","","1991-05-17 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5282; PositionRef=; Orig Type=IIp  ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"798","SN 1991af","17:27:02.900","+29:28:28.00","SN Ia","","CGCG 170-29","","","","","","","","","0","1","","18.5","","1991-05-19 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5282; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"799","SN 1991ag","20:00:08.599","-55:22:03.22","SN Ia","","IC 4919         ","","","","","","","","","0","1","","15","","1991-06-09 00:00:00","","[Discoverer=Antezana; DiscoveryRef=IAUC 5287; PositionRef=IAUC 5334; Orig Type=Ia   ]",""
"800","SN 1991ah","22:10:06.000","-46:19:00.00","SN II","","Anon.           ","","","","","","","","","0","1","","18.5","","1991-06-09 00:00:00","","[Discoverer=Antezana; DiscoveryRef=IAUC 5290; PositionRef=; Orig Type=II   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
